iid,gender,wave,pid,match,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,attr4_1,sinc4_1,intel4_1,fun4_1,amb4_1,shar4_1,attr2_1,sinc2_1,intel2_1,fun2_1,amb2_1,shar2_1,dec,attr,sinc,intel,fun,amb,shar,like
5,0,1,13,0,20,5,25,25,10,15,,,,,,,50,10,10,20,5,5,0,4,6,8,8,6,5,6
5,0,1,14,1,20,5,25,25,10,15,,,,,,,50,10,10,20,5,5,1,8,5,5,7,7,9,8
5,0,1,15,0,20,5,25,25,10,15,,,,,,,50,10,10,20,5,5,0,6,7,7,5,4,8,7
5,0,1,16,0,20,5,25,25,10,15,,,,,,,50,10,10,20,5,5,1,5,6,7,5,7,8,7
5,0,1,17,0,20,5,25,25,10,15,,,,,,,50,10,10,20,5,5,1,6,6,8,5,5,6,6
5,0,1,18,0,20,5,25,25,10,15,,,,,,,50,10,10,20,5,5,1,5,5,7,6,7,5,6
5,0,1,19,1,20,5,25,25,10,15,,,,,,,50,10,10,20,5,5,1,7,5,7,8,7,9,9
5,0,1,20,0,20,5,25,25,10,15,,,,,,,50,10,10,20,5,5,1,9,6,7,9,6,5,10
6,0,1,11,0,10,25,20,25,5,15,,,,,,,25,10,10,25,10,20,1,6,9,7,6,7,6,6
6,0,1,12,0,10,25,20,25,5,15,,,,,,,25,10,10,25,10,20,1,6,9,9,6,8,2,7
6,0,1,13,0,10,25,20,25,5,15,,,,,,,25,10,10,25,10,20,0,4,7,9,4,3,2,6
6,0,1,14,1,10,25,20,25,5,15,,,,,,,25,10,10,25,10,20,1,8,6,7,8,2,8,9
6,0,1,15,0,10,25,20,25,5,15,,,,,,,25,10,10,25,10,20,0,5,4,8,8,4,2,4
6,0,1,16,0,10,25,20,25,5,15,,,,,,,25,10,10,25,10,20,0,3,7,6,1,1,1,2
6,0,1,17,0,10,25,20,25,5,15,,,,,,,25,10,10,25,10,20,1,8,8,8,8,3,4,8
6,0,1,18,0,10,25,20,25,5,15,,,,,,,25,10,10,25,10,20,0,4,8,9,2,8,3,5
6,0,1,19,1,10,25,20,25,5,15,,,,,,,25,10,10,25,10,20,1,7,6,8,8,6,9,9
6,0,1,20,0,10,25,20,25,5,15,,,,,,,25,10,10,25,10,20,1,8,9,9,9,10,7,9
7,0,1,11,0,15,15,25,20,15,10,,,,,,,30,12,13,25,10,10,0,4,8,8,5,7,4,7
7,0,1,12,0,15,15,25,20,15,10,,,,,,,30,12,13,25,10,10,0,6,6,8,4,9,4,7
7,0,1,13,0,15,15,25,20,15,10,,,,,,,30,12,13,25,10,10,0,3,6,8,7,8,8,7
7,0,1,14,1,15,15,25,20,15,10,,,,,,,30,12,13,25,10,10,1,7,8,8,7,7,6,8
7,0,1,15,0,15,15,25,20,15,10,,,,,,,30,12,13,25,10,10,0,4,7,7,4,8,5,5
7,0,1,16,0,15,15,25,20,15,10,,,,,,,30,12,13,25,10,10,0,4,8,7,4,5,4,5
7,0,1,17,0,15,15,25,20,15,10,,,,,,,30,12,13,25,10,10,1,7,7,8,7,7,7,8
7,0,1,18,0,15,15,25,20,15,10,,,,,,,30,12,13,25,10,10,0,5,7,8,5,9,5,5
7,0,1,19,1,15,15,25,20,15,10,,,,,,,30,12,13,25,10,10,1,6,6,8,8,8,6,6
7,0,1,20,0,15,15,25,20,15,10,,,,,,,30,12,13,25,10,10,1,8,6,7,7,8,6,7
8,0,1,11,0,9.09,18.18,27.27,18.18,18.18,9.09,,,,,,,30,10,20,30,5,5,1,5,8,7,4,7,5,4
8,0,1,12,1,9.09,18.18,27.27,18.18,18.18,9.09,,,,,,,30,10,20,30,5,5,1,8,7,7,9,6,7,8
8,0,1,13,1,9.09,18.18,27.27,18.18,18.18,9.09,,,,,,,30,10,20,30,5,5,1,5,8,8,6,7,7,5
8,0,1,14,1,9.09,18.18,27.27,18.18,18.18,9.09,,,,,,,30,10,20,30,5,5,1,8,6,5,6,6,5,5
8,0,1,15,1,9.09,18.18,27.27,18.18,18.18,9.09,,,,,,,30,10,20,30,5,5,1,6,8,8,5,6,7,6
8,0,1,16,1,9.09,18.18,27.27,18.18,18.18,9.09,,,,,,,30,10,20,30,5,5,1,6,8,8,5,6,7,6
8,0,1,17,0,9.09,18.18,27.27,18.18,18.18,9.09,,,,,,,30,10,20,30,5,5,1,6,7,8,5,7,7,6
8,0,1,18,1,9.09,18.18,27.27,18.18,18.18,9.09,,,,,,,30,10,20,30,5,5,1,5,6,7,4,5,6,5
8,0,1,19,1,9.09,18.18,27.27,18.18,18.18,9.09,,,,,,,30,10,20,30,5,5,1,8,8,5,9,8,9,7
8,0,1,20,1,9.09,18.18,27.27,18.18,18.18,9.09,,,,,,,30,10,20,30,5,5,1,7,6,8,7,9,8,8
9,0,1,11,0,20,10,20,30,10,10,,,,,,,30,20,10,20,10,10,1,8,10,9,8,7,6,5
9,0,1,12,1,20,10,20,30,10,10,,,,,,,30,20,10,20,10,10,1,10,10,10,10,10,10,10
9,0,1,13,1,20,10,20,30,10,10,,,,,,,30,20,10,20,10,10,1,5,10,10,6,6,6,8
9,0,1,14,1,20,10,20,30,10,10,,,,,,,30,20,10,20,10,10,1,10,9,8,8,7,7,7
9,0,1,15,1,20,10,20,30,10,10,,,,,,,30,20,10,20,10,10,1,5,10,8,8,5,5,5
9,0,1,16,1,20,10,20,30,10,10,,,,,,,30,20,10,20,10,10,1,8,9,9,7,6,5,6
9,0,1,17,1,20,10,20,30,10,10,,,,,,,30,20,10,20,10,10,1,6,8,9,6,6,6,7
9,0,1,18,0,20,10,20,30,10,10,,,,,,,30,20,10,20,10,10,1,6,7,8,7,9,6,7
9,0,1,19,1,20,10,20,30,10,10,,,,,,,30,20,10,20,10,10,1,8,5,5,6,5,5,7
9,0,1,20,0,20,10,20,30,10,10,,,,,,,30,20,10,20,10,10,1,7,8,7,8,7,8,8
10,0,1,11,0,15,15,15,40,10,5,,,,,,,45,10,15,20,5,5,0,6,10,10,6,6,,6
10,0,1,12,0,15,15,15,40,10,5,,,,,,,45,10,15,20,5,5,0,1,1,1,1,1,,1
10,0,1,13,1,15,15,15,40,10,5,,,,,,,45,10,15,20,5,5,1,6,10,10,10,6,,7
10,0,1,14,0,15,15,15,40,10,5,,,,,,,45,10,15,20,5,5,0,10,10,10,10,10,,10
10,0,1,15,0,15,15,15,40,10,5,,,,,,,45,10,15,20,5,5,0,5,7,7,7,7,,6
10,0,1,16,0,15,15,15,40,10,5,,,,,,,45,10,15,20,5,5,0,5,10,6,4,6,,6
10,0,1,17,0,15,15,15,40,10,5,,,,,,,45,10,15,20,5,5,1,5,10,8,6,9,,7
10,0,1,18,0,15,15,15,40,10,5,,,,,,,45,10,15,20,5,5,0,5,6,6,4,5,,5
10,0,1,19,1,15,15,15,40,10,5,,,,,,,45,10,15,20,5,5,1,9,9,9,9,9,9,9
10,0,1,20,0,15,15,15,40,10,5,,,,,,,45,10,15,20,5,5,1,9,9,8,10,8,8,9
11,1,1,1,0,35,20,20,20,0,5,,,,,,,25,5,20,20,25,5,0,6,8,8,8,8,6,7
11,1,1,2,0,35,20,20,20,0,5,,,,,,,25,5,20,20,25,5,0,8,7,6,9,7,4,7
11,1,1,3,0,35,20,20,20,0,5,,,,,,,25,5,20,20,25,5,0,7,8,6,5,8,4,5
11,1,1,4,0,35,20,20,20,0,5,,,,,,,25,5,20,20,25,5,0,6,7,8,7,7,5,6
11,1,1,5,0,35,20,20,20,0,5,,,,,,,25,5,20,20,25,5,0,6,8,8,8,7,6,6
11,1,1,6,0,35,20,20,20,0,5,,,,,,,25,5,20,20,25,5,0,7,9,8,9,8,4,7
11,1,1,7,0,35,20,20,20,0,5,,,,,,,25,5,20,20,25,5,0,7,8,8,8,7,7,7
11,1,1,8,0,35,20,20,20,0,5,,,,,,,25,5,20,20,25,5,0,8,7,6,6,6,5,7
11,1,1,9,0,35,20,20,20,0,5,,,,,,,25,5,20,20,25,5,0,6,8,7,8,7,5,6
11,1,1,10,0,35,20,20,20,0,5,,,,,,,25,5,20,20,25,5,0,7,8,7,8,6,5,6
12,1,1,1,0,60,0,0,40,0,0,,,,,,,25,15,25,20,15,0,0,7,8,10,7,7,5,8
12,1,1,2,0,60,0,0,40,0,0,,,,,,,25,15,25,20,15,0,0,7,6,10,6,6,5,8
12,1,1,3,0,60,0,0,40,0,0,,,,,,,25,15,25,20,15,0,0,6,7,10,6,6,5,7
12,1,1,4,0,60,0,0,40,0,0,,,,,,,25,15,25,20,15,0,0,6,5,10,6,6,5,6
12,1,1,5,0,60,0,0,40,0,0,,,,,,,25,15,25,20,15,0,0,6,7,10,7,6,5,7
12,1,1,6,0,60,0,0,40,0,0,,,,,,,25,15,25,20,15,0,0,6,8,10,6,7,6,7
12,1,1,7,0,60,0,0,40,0,0,,,,,,,25,15,25,20,15,0,1,7,9,10,6,6,5,8
12,1,1,8,1,60,0,0,40,0,0,,,,,,,25,15,25,20,15,0,1,8,8,10,7,6,5,9
12,1,1,9,1,60,0,0,40,0,0,,,,,,,25,15,25,20,15,0,1,8,8,10,7,6,5,8
12,1,1,10,0,60,0,0,40,0,0,,,,,,,25,15,25,20,15,0,0,1,1,1,1,1,1,1
13,1,1,1,1,19,18,19,18,14,12,,,,,,,20,16,16,18,16,14,1,10,10,10,10,10,10,10
13,1,1,2,0,19,18,19,18,14,12,,,,,,,20,16,16,18,16,14,1,10,10,10,10,10,10,10
13,1,1,3,0,19,18,19,18,14,12,,,,,,,20,16,16,18,16,14,1,10,10,10,10,10,10,10
13,1,1,4,0,19,18,19,18,14,12,,,,,,,20,16,16,18,16,14,1,10,10,10,10,10,10,10
13,1,1,5,0,19,18,19,18,14,12,,,,,,,20,16,16,18,16,14,1,10,10,10,10,10,10,10
13,1,1,6,0,19,18,19,18,14,12,,,,,,,20,16,16,18,16,14,1,10,10,10,10,10,10,10
13,1,1,7,0,19,18,19,18,14,12,,,,,,,20,16,16,18,16,14,1,10,10,10,10,10,10,10
13,1,1,8,1,19,18,19,18,14,12,,,,,,,20,16,16,18,16,14,1,10,10,10,10,10,10,10
13,1,1,9,1,19,18,19,18,14,12,,,,,,,20,16,16,18,16,14,1,10,10,10,10,10,10,10
13,1,1,10,1,19,18,19,18,14,12,,,,,,,20,16,16,18,16,14,1,10,10,10,10,10,10,10
14,1,1,1,1,30,5,15,40,5,5,,,,,,,20,15,20,20,5,20,1,7,8,9,8,9,8,7
14,1,1,2,1,30,5,15,40,5,5,,,,,,,20,15,20,20,5,20,1,9,9,9,9,9,9,9
14,1,1,3,0,30,5,15,40,5,5,,,,,,,20,15,20,20,5,20,1,7,9,8,8,8,8,7
14,1,1,4,1,30,5,15,40,5,5,,,,,,,20,15,20,20,5,20,1,7,7,7,9,9,9,8
14,1,1,5,1,30,5,15,40,5,5,,,,,,,20,15,20,20,5,20,1,6,8,6,8,10,10,7
14,1,1,6,1,30,5,15,40,5,5,,,,,,,20,15,20,20,5,20,1,6,8,8,7,9,8,7
14,1,1,7,1,30,5,15,40,5,5,,,,,,,20,15,20,20,5,20,1,8,8,9,8,9,9,8
14,1,1,8,1,30,5,15,40,5,5,,,,,,,20,15,20,20,5,20,1,8,8,8,8,8,7,8
14,1,1,9,1,30,5,15,40,5,5,,,,,,,20,15,20,20,5,20,1,7,8,7,8,8,7,7
14,1,1,10,0,30,5,15,40,5,5,,,,,,,20,15,20,20,5,20,1,7,8,7,9,8,8,7
15,1,1,1,1,30,10,20,10,10,20,,,,,,,20,20,20,20,10,10,1,8,7,9,6,9,7,8
15,1,1,2,0,30,10,20,10,10,20,,,,,,,20,20,20,20,10,10,1,10,10,10,10,7,8,10
15,1,1,3,0,30,10,20,10,10,20,,,,,,,20,20,20,20,10,10,1,6,10,8,6,,,6
15,1,1,4,0,30,10,20,10,10,20,,,,,,,20,20,20,20,10,10,1,8,8,9,8,8,9,9
15,1,1,5,0,30,10,20,10,10,20,,,,,,,20,20,20,20,10,10,0,5,9,9,7,9,5,5
15,1,1,6,0,30,10,20,10,10,20,,,,,,,20,20,20,20,10,10,1,9,7,9,7,9,6,9
15,1,1,7,0,30,10,20,10,10,20,,,,,,,20,20,20,20,10,10,1,8,7,9,6,9,5,8
15,1,1,8,1,30,10,20,10,10,20,,,,,,,20,20,20,20,10,10,1,9,9,8,9,,7,9
15,1,1,9,1,30,10,20,10,10,20,,,,,,,20,20,20,20,10,10,1,7,9,8,9,7,7,7
15,1,1,10,0,30,10,20,10,10,20,,,,,,,20,20,20,20,10,10,1,6,9,9,7,8,,6
16,1,1,1,0,50,0,30,10,0,10,,,,,,,50,5,30,5,5,5,1,7,7,8,8,7,7,7
16,1,1,2,0,50,0,30,10,0,10,,,,,,,50,5,30,5,5,5,1,7,8,7,5,7,7,7
16,1,1,3,0,50,0,30,10,0,10,,,,,,,50,5,30,5,5,5,1,7,6,6,6,6,6,6
16,1,1,4,0,50,0,30,10,0,10,,,,,,,50,5,30,5,5,5,1,6,6,7,7,8,7,6
16,1,1,5,0,50,0,30,10,0,10,,,,,,,50,5,30,5,5,5,0,5,8,7,7,7,7,6
16,1,1,6,0,50,0,30,10,0,10,,,,,,,50,5,30,5,5,5,1,6,6,8,8,8,7,6
16,1,1,7,0,50,0,30,10,0,10,,,,,,,50,5,30,5,5,5,1,8,8,8,6,6,6,7
16,1,1,8,1,50,0,30,10,0,10,,,,,,,50,5,30,5,5,5,1,8,7,7,7,8,7,7
16,1,1,9,1,50,0,30,10,0,10,,,,,,,50,5,30,5,5,5,1,6,6,7,8,7,7,6
16,1,1,10,0,50,0,30,10,0,10,,,,,,,50,5,30,5,5,5,0,,8,7,7,7,7,6
17,1,1,1,0,35,15,25,10,5,10,,,,,,,25,20,20,20,10,5,0,3,6,7,5,8,7,2
17,1,1,2,0,35,15,25,10,5,10,,,,,,,25,20,20,20,10,5,0,5,3,4,3,5,3,4
17,1,1,3,0,35,15,25,10,5,10,,,,,,,25,20,20,20,10,5,0,6,3,5,4,5,4,2
17,1,1,4,0,35,15,25,10,5,10,,,,,,,25,20,20,20,10,5,1,7,6,3,5,6,5,6
17,1,1,5,0,35,15,25,10,5,10,,,,,,,25,20,20,20,10,5,0,2,3,4,4,5,3,3
17,1,1,6,0,35,15,25,10,5,10,,,,,,,25,20,20,20,10,5,0,5,6,8,4,5,4,3
17,1,1,7,0,35,15,25,10,5,10,,,,,,,25,20,20,20,10,5,0,7,6,5,4,4,3,5
17,1,1,8,0,35,15,25,10,5,10,,,,,,,25,20,20,20,10,5,0,6,4,7,5,6,4,4
17,1,1,9,1,35,15,25,10,5,10,,,,,,,25,20,20,20,10,5,1,8,6,7,8,6,5,8
17,1,1,10,0,35,15,25,10,5,10,,,,,,,25,20,20,20,10,5,0,7,7,4,3,4,4,3
18,1,1,1,0,33.33,11.11,11.11,11.11,11.11,22.22,,,,,,,10,10,20,25,25,10,0,6,7,5,6,8,6,7
18,1,1,2,0,33.33,11.11,11.11,11.11,11.11,22.22,,,,,,,10,10,20,25,25,10,1,7,7,7,7,7,5,7
18,1,1,3,0,33.33,11.11,11.11,11.11,11.11,22.22,,,,,,,10,10,20,25,25,10,0,4,5,6,4,6,4,5
18,1,1,4,0,33.33,11.11,11.11,11.11,11.11,22.22,,,,,,,10,10,20,25,25,10,0,6,7,8,6,6,5,7
18,1,1,5,0,33.33,11.11,11.11,11.11,11.11,22.22,,,,,,,10,10,20,25,25,10,0,5,5,6,5,5,5,6
18,1,1,6,0,33.33,11.11,11.11,11.11,11.11,22.22,,,,,,,10,10,20,25,25,10,0,6,7,8,7,8,5,7
18,1,1,7,0,33.33,11.11,11.11,11.11,11.11,22.22,,,,,,,10,10,20,25,25,10,1,8,7,6,7,7,5,7
18,1,1,8,1,33.33,11.11,11.11,11.11,11.11,22.22,,,,,,,10,10,20,25,25,10,1,9,8,8,8,7,5,7
18,1,1,9,0,33.33,11.11,11.11,11.11,11.11,22.22,,,,,,,10,10,20,25,25,10,0,7,7,7,7,6,5,7
18,1,1,10,0,33.33,11.11,11.11,11.11,11.11,22.22,,,,,,,10,10,20,25,25,10,0,6,6,6,6,6,5,7
19,1,1,1,1,50,0,25,10,0,15,,,,,,,40,15,20,10,10,5,1,7,7,8,8,8,9,6.5
19,1,1,2,1,50,0,25,10,0,15,,,,,,,40,15,20,10,10,5,1,8,6,9,9,8,7,8
19,1,1,3,0,50,0,25,10,0,15,,,,,,,40,15,20,10,10,5,1,7,7,6,8,7,7,7
19,1,1,4,1,50,0,25,10,0,15,,,,,,,40,15,20,10,10,5,1,7,7,7,10,9,10,8
19,1,1,5,1,50,0,25,10,0,15,,,,,,,40,15,20,10,10,5,1,5,9,9,9,9,6,7
19,1,1,6,1,50,0,25,10,0,15,,,,,,,40,15,20,10,10,5,1,6,7,7,6,6,6,6
19,1,1,7,1,50,0,25,10,0,15,,,,,,,40,15,20,10,10,5,1,9,7,9,9,9,10,9
19,1,1,8,1,50,0,25,10,0,15,,,,,,,40,15,20,10,10,5,1,8,7,8,10,8,10,8
19,1,1,9,1,50,0,25,10,0,15,,,,,,,40,15,20,10,10,5,1,6,6,6,7,6,6,6
19,1,1,10,1,50,0,25,10,0,15,,,,,,,40,15,20,10,10,5,1,7,7,7,7,6,6,7
20,1,1,1,0,100,0,0,0,0,0,,,,,,,50,10,10,10,10,10,0,6,6,6,6,6,6,6
20,1,1,2,0,100,0,0,0,0,0,,,,,,,50,10,10,10,10,10,0,6,5,7,7,9,7,6
20,1,1,3,0,100,0,0,0,0,0,,,,,,,50,10,10,10,10,10,0,5,6,8,5,8,6,5
20,1,1,4,0,100,0,0,0,0,0,,,,,,,50,10,10,10,10,10,0,7,8,8,7,8,7,7
20,1,1,5,0,100,0,0,0,0,0,,,,,,,50,10,10,10,10,10,0,3,10,7,7,10,5,4
20,1,1,6,0,100,0,0,0,0,0,,,,,,,50,10,10,10,10,10,0,7,10,10,6,10,7,6
20,1,1,7,0,100,0,0,0,0,0,,,,,,,50,10,10,10,10,10,0,7,6,8,6,8,7,7
20,1,1,8,1,100,0,0,0,0,0,,,,,,,50,10,10,10,10,10,1,8,10,9,9,8,8,8
20,1,1,9,0,100,0,0,0,0,0,,,,,,,50,10,10,10,10,10,0,5,6,6,6,6,6,6
20,1,1,10,0,100,0,0,0,0,0,,,,,,,50,10,10,10,10,10,0,6,6,6,6,6,6,7
21,0,2,40,0,12,18,20,16,16,18,,,,,,,35,15,10,15,5,20,0,6,8,7,9,5,7,9
21,0,2,41,0,12,18,20,16,16,18,,,,,,,35,15,10,15,5,20,0,5,8,7,5,9,5,7
21,0,2,42,0,12,18,20,16,16,18,,,,,,,35,15,10,15,5,20,1,8,9,8,8,7,6,9
21,0,2,43,0,12,18,20,16,16,18,,,,,,,35,15,10,15,5,20,0,5,8,8,4,9,3,6
21,0,2,44,0,12,18,20,16,16,18,,,,,,,35,15,10,15,5,20,0,7,7,8,5,7,2,6
21,0,2,45,0,12,18,20,16,16,18,,,,,,,35,15,10,15,5,20,0,6,8,8,6,8,4,5
21,0,2,46,0,12,18,20,16,16,18,,,,,,,35,15,10,15,5,20,0,6,8,8,6,8,5,8
21,0,2,47,0,12,18,20,16,16,18,,,,,,,35,15,10,15,5,20,0,4,7,7,4,7,3,5
21,0,2,48,0,12,18,20,16,16,18,,,,,,,35,15,10,15,5,20,0,7,7,7,5,6,3,6
21,0,2,49,0,12,18,20,16,16,18,,,,,,,35,15,10,15,5,20,1,9,9,10,9,9,8,9
21,0,2,50,0,12,18,20,16,16,18,,,,,,,35,15,10,15,5,20,0,5,7,7,7,7,6,6
21,0,2,51,0,12,18,20,16,16,18,,,,,,,35,15,10,15,5,20,0,7,4,6,4,4,2,2
21,0,2,52,0,12,18,20,16,16,18,,,,,,,35,15,10,15,5,20,0,5,8,8,5,8,2,6
21,0,2,53,0,12,18,20,16,16,18,,,,,,,35,15,10,15,5,20,0,6,8,7,7,7,2,6
21,0,2,54,0,12,18,20,16,16,18,,,,,,,35,15,10,15,5,20,0,6,8,7,6,8,2,6
21,0,2,55,0,12,18,20,16,16,18,,,,,,,35,15,10,15,5,20,0,5,9,9,8,9,5,8
22,0,2,40,0,20,20,20,10,10,20,,,,,,,50,10,10,10,10,10,0,5,7,7,6,7,5,6
22,0,2,41,0,20,20,20,10,10,20,,,,,,,50,10,10,10,10,10,0,4,7,6,6,7,2,3
22,0,2,42,0,20,20,20,10,10,20,,,,,,,50,10,10,10,10,10,0,5,6,6,5,6,3,3
22,0,2,43,0,20,20,20,10,10,20,,,,,,,50,10,10,10,10,10,0,5,7,7,5,7,3,4
22,0,2,44,1,20,20,20,10,10,20,,,,,,,50,10,10,10,10,10,1,6,8,8,7,7,6,6
22,0,2,45,1,20,20,20,10,10,20,,,,,,,50,10,10,10,10,10,1,6,7,7,4,6,6,6
22,0,2,46,0,20,20,20,10,10,20,,,,,,,50,10,10,10,10,10,1,8,7,7,7,6,7,7
22,0,2,47,0,20,20,20,10,10,20,,,,,,,50,10,10,10,10,10,0,5,7,7,6,6,5,5
22,0,2,48,0,20,20,20,10,10,20,,,,,,,50,10,10,10,10,10,1,7,7,7,7,7,6,7
22,0,2,49,0,20,20,20,10,10,20,,,,,,,50,10,10,10,10,10,0,6,7,7,5,7,4,5
22,0,2,50,0,20,20,20,10,10,20,,,,,,,50,10,10,10,10,10,1,5,6,7,7,7,7,6
22,0,2,51,0,20,20,20,10,10,20,,,,,,,50,10,10,10,10,10,0,3,4,5,4,4,2,2
22,0,2,52,0,20,20,20,10,10,20,,,,,,,50,10,10,10,10,10,0,3,6,7,5,5,4,2
22,0,2,53,0,20,20,20,10,10,20,,,,,,,50,10,10,10,10,10,1,7,7,8,6,7,8,8
22,0,2,54,0,20,20,20,10,10,20,,,,,,,50,10,10,10,10,10,0,4,5,5,4,5,4,4
22,0,2,55,0,20,20,20,10,10,20,,,,,,,50,10,10,10,10,10,1,6,7,7,7,7,7,7
23,0,2,40,0,10,20,40,10,10,10,,,,,,,40,5,20,20,5,10,1,5,7,6,6,6,7,8
23,0,2,41,0,10,20,40,10,10,10,,,,,,,40,5,20,20,5,10,0,5,7,7,6,6,7,7
23,0,2,42,0,10,20,40,10,10,10,,,,,,,40,5,20,20,5,10,1,6,6,7,6,6,6,6.5
23,0,2,43,1,10,20,40,10,10,10,,,,,,,40,5,20,20,5,10,1,5,7,8,6,6,7,7
23,0,2,44,1,10,20,40,10,10,10,,,,,,,40,5,20,20,5,10,1,7,7,7,6,6,9,9
23,0,2,45,1,10,20,40,10,10,10,,,,,,,40,5,20,20,5,10,1,6,7,7,6,7,5,7
23,0,2,46,0,10,20,40,10,10,10,,,,,,,40,5,20,20,5,10,1,7,6,7,7,7,6,7
23,0,2,47,0,10,20,40,10,10,10,,,,,,,40,5,20,20,5,10,0,5,6,7,6,6,6,6
23,0,2,48,0,10,20,40,10,10,10,,,,,,,40,5,20,20,5,10,0,6,6,6,8,6,5,6
